dataset,model,attr_method,itr_no,time
mimic_iii,iTransformer,gradient_shap,1,0:00:24.914866
mimic_iii,iTransformer,gradient_shap,2,0:00:24.988933
mimic_iii,iTransformer,gradient_shap,3,0:00:24.977808
mimic_iii,iTransformer,dyna_mask,1,0:00:21.249577
mimic_iii,iTransformer,dyna_mask,2,0:00:20.795915
mimic_iii,iTransformer,dyna_mask,3,0:00:20.430448
mimic_iii,iTransformer,winIT,1,0:11:17.350127
mimic_iii,iTransformer,winIT,2,0:11:18.997316
mimic_iii,iTransformer,winIT,3,0:11:19.441963
mimic_iii,iTransformer,tsr,1,0:11:31.172802
mimic_iii,iTransformer,tsr,2,0:11:33.738335
mimic_iii,iTransformer,tsr,3,0:11:33.478394
mimic_iii,iTransformer,wtsr,1,0:06:18.907811
mimic_iii,iTransformer,wtsr,2,0:06:20.133425
mimic_iii,iTransformer,wtsr,3,0:06:20.122673
