dataset,model,iteration,name,timestamp,duration,settings
electricity,MICN,2,augmented_occlusion,2024-07-26 04:41:19.808731,0:06:39.848615,
traffic,MICN,3,gradient_shap,2024-07-26 04:42:35.259585,0:03:09.486699,
mimic_iii,MICN,3,winIT,2024-07-26 04:44:18.587501,0:11:59.546623,
traffic,MICN,3,dyna_mask,2024-07-26 04:45:36.421639,0:03:00.963179,
electricity,MICN,2,feature_permutation,2024-07-26 04:47:57.139485,0:06:37.068967,
traffic,MICN,3,winIT,2024-07-26 04:50:36.298817,0:04:59.683481,
mimic_iii,MICN,3,wtsr,2024-07-26 04:51:46.273319,0:07:27.532607,
traffic,MICN,3,wtsr,2024-07-26 04:54:27.414886,0:03:50.923739,
electricity,MICN,2,integrated_gradients,2024-07-26 04:55:13.079190,0:07:15.693034,
electricity,MICN,2,gradient_shap,2024-07-26 04:59:51.468200,0:04:38.168726,
electricity,MICN,2,dyna_mask,2024-07-26 05:04:19.789094,0:04:28.083475,
mimic_iii,SegRNN,1,feature_ablation,2024-07-26 05:09:22.925372,0:03:50.354127,
electricity,MICN,2,winIT,2024-07-26 05:11:47.790360,0:07:27.779117,
mimic_iii,SegRNN,1,occlusion,2024-07-26 05:13:13.554980,0:03:50.468939,
electricity,MICN,2,wtsr,2024-07-26 05:17:29.612354,0:05:41.588311,
mimic_iii,SegRNN,1,augmented_occlusion,2024-07-26 05:17:55.177601,0:04:41.470370,
mimic_iii,SegRNN,1,feature_permutation,2024-07-26 05:22:35.875836,0:04:40.542238,
mimic_iii,SegRNN,1,integrated_gradients,2024-07-26 05:23:23.785595,0:00:47.751675,
mimic_iii,SegRNN,1,gradient_shap,2024-07-26 05:23:52.955008,0:00:29.017806,
mimic_iii,SegRNN,1,dyna_mask,2024-07-26 05:24:28.550541,0:00:35.423227,
traffic,SegRNN,1,feature_ablation,2024-07-26 05:30:29.027417,0:01:45.306761,
traffic,SegRNN,1,occlusion,2024-07-26 05:32:16.926897,0:01:47.704342,
mimic_iii,SegRNN,1,winIT,2024-07-26 05:32:25.507032,0:07:56.799647,
traffic,SegRNN,1,augmented_occlusion,2024-07-26 05:34:06.957214,0:01:49.833808,
traffic,SegRNN,1,feature_permutation,2024-07-26 05:35:54.530810,0:01:47.373910,
traffic,SegRNN,1,integrated_gradients,2024-07-26 05:37:49.945025,0:01:55.218266,
mimic_iii,SegRNN,1,wtsr,2024-07-26 05:38:21.432097,0:05:55.767411,
traffic,SegRNN,1,gradient_shap,2024-07-26 05:39:10.788170,0:01:20.635933,
traffic,SegRNN,1,dyna_mask,2024-07-26 05:40:29.554113,0:01:18.569755,
traffic,SegRNN,1,winIT,2024-07-26 05:42:50.183145,0:02:20.430243,
traffic,SegRNN,1,wtsr,2024-07-26 05:44:32.552641,0:01:42.167869,
mimic_iii,SegRNN,2,feature_ablation,2024-07-26 05:52:55.997072,0:03:49.367474,
mimic_iii,SegRNN,2,occlusion,2024-07-26 05:56:46.754285,0:03:50.586741,
mimic_iii,SegRNN,2,augmented_occlusion,2024-07-26 06:01:30.423293,0:04:43.512258,
mimic_iii,SegRNN,2,feature_permutation,2024-07-26 06:06:13.284565,0:04:42.691656,
traffic,SegRNN,2,feature_ablation,2024-07-26 06:06:54.301491,0:01:46.964208,
mimic_iii,SegRNN,2,integrated_gradients,2024-07-26 06:07:00.200119,0:00:46.751999,
mimic_iii,SegRNN,2,gradient_shap,2024-07-26 06:07:29.560976,0:00:29.209103,
mimic_iii,SegRNN,2,dyna_mask,2024-07-26 06:08:06.836328,0:00:37.111869,
traffic,SegRNN,2,occlusion,2024-07-26 06:08:44.761896,0:01:50.267017,
traffic,SegRNN,2,augmented_occlusion,2024-07-26 06:10:37.439006,0:01:52.482581,
traffic,SegRNN,2,feature_permutation,2024-07-26 06:12:27.751915,0:01:50.092432,
electricity,MICN,3,feature_ablation,2024-07-26 06:14:15.146661,0:06:32.002553,
traffic,SegRNN,2,integrated_gradients,2024-07-26 06:14:22.249491,0:01:54.283321,
traffic,SegRNN,2,gradient_shap,2024-07-26 06:15:42.684879,0:01:20.236403,
mimic_iii,SegRNN,2,winIT,2024-07-26 06:16:03.908062,0:07:56.888598,
traffic,SegRNN,2,dyna_mask,2024-07-26 06:17:01.001540,0:01:18.123951,
traffic,SegRNN,2,winIT,2024-07-26 06:19:21.579358,0:02:20.384108,
electricity,MICN,3,occlusion,2024-07-26 06:20:51.990877,0:06:36.615389,
traffic,SegRNN,2,wtsr,2024-07-26 06:21:04.211791,0:01:42.425955,
mimic_iii,SegRNN,2,wtsr,2024-07-26 06:22:00.202273,0:05:56.123159,
electricity,MICN,3,augmented_occlusion,2024-07-26 06:27:29.816257,0:06:37.611234,
electricity,MICN,3,feature_permutation,2024-07-26 06:34:06.884344,0:06:36.844044,
mimic_iii,SegRNN,3,feature_ablation,2024-07-26 06:36:33.938444,0:03:49.230329,
mimic_iii,SegRNN,3,occlusion,2024-07-26 06:40:24.584732,0:03:50.488099,
electricity,MICN,3,integrated_gradients,2024-07-26 06:41:13.798725,0:07:06.686556,
traffic,SegRNN,3,feature_ablation,2024-07-26 06:43:21.047512,0:01:46.947773,
mimic_iii,SegRNN,3,augmented_occlusion,2024-07-26 06:45:07.944000,0:04:43.201909,
traffic,SegRNN,3,occlusion,2024-07-26 06:45:12.014004,0:01:50.762573,
electricity,MICN,3,gradient_shap,2024-07-26 06:45:54.124050,0:04:40.106847,
traffic,SegRNN,3,augmented_occlusion,2024-07-26 06:47:04.917315,0:01:52.699180,
traffic,SegRNN,3,feature_permutation,2024-07-26 06:48:55.383760,0:01:50.272215,
mimic_iii,SegRNN,3,feature_permutation,2024-07-26 06:49:50.250594,0:04:42.152732,
